GEO (Labels);GDP_comonent;Current _prices_million_euro;Perc
Germany;Final consumption expenditure, gross capital formation and exports of goods and services;6171964;1
Germany;Final consumption expenditure;3384248;0,548325946
Germany;Gross capital formation;980318;0,158834044
Germany;Exports of goods and services;1807398;0,29284001
Spain;Final consumption expenditure, gross capital formation and exports of goods and services;2240679;1
Spain;Final consumption expenditure;1260348;0,562484854
Spain;Gross capital formation;363199;0,162093276
Spain;Exports of goods and services;617132;0,27542187
France;Final consumption expenditure, gross capital formation and exports of goods and services;3986002,7;1
France;Final consumption expenditure;2337638,6;0,586461871
France;Gross capital formation;653563,5;0,163964641
France;Exports of goods and services;994800,6;0,249573489
Italy;Final consumption expenditure, gross capital formation and exports of goods and services;2942151,9;1
Italy;Final consumption expenditure;1712042,9;0,581901601
Italy;Gross capital formation;502407,2;0,170761816
Italy;Exports of goods and services;727701,8;0,247336584
Portugal;Final consumption expenditure, gross capital formation and exports of goods and services;437742,8;1
Portugal;Final consumption expenditure;239428,6;0,546961823
Portugal;Gross capital formation;64461,2;0,147258162
Portugal;Exports of goods and services;133853;0,305780015
